Categories	Len	Prop
DNA	787486	0.22759710982659
DNA/CMC-EnSpm	7049082	2.03730693641619
DNA/En-Spm	377798	0.109190173410405
DNA/Ginger	125094	0.0361543352601156
DNA/Harbinger	20257	0.00585462427745665
DNA/MULE-MuDR	3032120	0.876335260115607
DNA/MuDR	1957771	0.565829768786127
DNA/MuLE-MuDR	3993147	1.1540887283237
DNA/PIF-Harbinger	1925998	0.556646820809249
DNA/Sola	64089	0.0185228323699422
DNA/TcMar	7390	0.00213583815028902
DNA/TcMar-Stowaway	3947587	1.1409210982659
DNA/hAT	242710	0.0701473988439306
DNA/hAT-Ac	1085459	0.313716473988439
DNA/hAT-Tag1	55257	0.0159702312138728
DNA/hAT-Tip100	170877	0.0493864161849711
LINE	2122829	0.613534393063584
LINE/CRE	34737	0.0100395953757225
LINE/L1	3997506	1.15534855491329
LINE/RTE-BovB	28284	0.00817456647398844
LTR	742018	0.214456069364162
LTR/Caulimovirus	270755	0.0782528901734104
LTR/Copia	18637587	5.38658583815029
LTR/DIRS	28911	0.00835578034682081
LTR/Gypsy	78006324	22.5451803468208
LTR/Pao	142072	0.0410612716763006
Low_complexity	436487	0.126152312138728
MobileElement	825	0.000238439306358381
Other	139105	0.0402037572254335
Other/Simple	3307	0.000955780346820809
RC/Helitron	479276	0.138519075144509
Retroelement	357367	0.103285260115607
SINE	36656	0.0105942196531792
SINE/L1	790814	0.228558959537572
SINE/tRNA	352000	0.101734104046243
SINE?	2473	0.000714739884393064
Satellite	51631	0.0149222543352601
Simple_repeat	2723717	0.787201445086705
Unknown	19013443	5.49521473988439
nonLTR	22088	0.00638381502890173
rRNA	126909	0.036678901734104
