Categories	Len	Prop
DNA	9667682	1.80704336448598
DNA/CMC-EnSpm	8951772	1.67322841121495
DNA/MULE-MuDR	1560747	0.291728411214953
DNA/MuLE-MuDR	1010481	0.188874953271028
DNA/PIF-Harbinger	4014662	0.750404112149533
DNA/TcMar-Stowaway	1088357	0.203431214953271
DNA/hAT	103876	0.0194160747663551
DNA/hAT-Ac	734547	0.137298504672897
DNA/hAT-Tip100	90507	0.0169171962616822
LINE/L1	1368322	0.255761121495327
LTR	105943	0.0198024299065421
LTR/Copia	16925894	3.1637185046729
LTR/Gypsy	115447585	21.5789878504673
LTR/Ngaro	968522	0.18103214953271
Low_complexity	821091	0.153474953271028
RC/Helitron	365425	0.068303738317757
SINE/L1	279764	0.0522923364485981
SINE/tRNA	318515	0.0595355140186916
SINE?	7997	0.00149476635514019
Satellite/centr	4830924	0.902976448598131
Simple_repeat	4546657	0.849842429906542
Unknown	41376798	7.73398093457944
rRNA	298304	0.0557577570093458
